Time: 3/20:56:44 Arduino 0: 0: 251.72,1: 245.04,2: 238.36,3: 231.68,4: 223.59,5: 216.56,6: 209.18
Time: 3/20:56:44 Arduino 0: 0: 251.37,1: 245.39,2: 238.01,3: 230.98,4: 224.30,5: 215.86,6: 208.83
Time: 3/20:56:44 Arduino 0: 0: 251.72,1: 245.39,2: 238.71,3: 231.33,4: 223.59,5: 216.56,6: 208.13
Time: 3/20:56:44 Arduino 0: 0: 253.48,1: 246.80,2: 238.71,3: 231.68,4: 224.65,5: 215.86,6: 208.83
Time: 3/20:56:44 Arduino 0: 0: 255.59,1: 248.91,2: 241.17,3: 232.38,4: 224.65,5: 217.27,6: 208.13
Time: 3/20:56:44 Arduino 0: 0: 259.10,1: 251.72,2: 242.23,3: 234.49,4: 226.05,5: 217.62,6: 209.88
Time: 3/20:56:44 Arduino 0: 0: 262.27,1: 253.83,2: 245.39,3: 235.90,4: 227.46,5: 219.02,6: 209.88
Time: 3/20:56:44 Arduino 0: 0: 264.38,1: 256.64,2: 247.15,3: 238.36,4: 228.52,5: 220.08,6: 211.64
Time: 3/20:56:44 Arduino 0: 0: 267.54,1: 259.10,2: 249.61,3: 239.77,4: 230.98,5: 220.78,6: 212.34
Time: 3/20:56:44 Arduino 0: 0: 270.35,1: 261.21,2: 251.37,3: 242.23,4: 231.68,5: 222.54,6: 213.40
Time: 3/20:56:44 Arduino 0: 0: 273.87,1: 263.67,2: 253.48,3: 243.63,4: 234.14,5: 223.59,6: 214.80
Time: 3/20:56:45 Arduino 0: 0: 275.98,1: 265.78,2: 255.94,3: 245.39,4: 235.20,5: 225.70,6: 215.16
Time: 3/20:56:45 Arduino 0: 0: 278.79,1: 268.24,2: 256.99,3: 247.15,4: 237.30,5: 226.41,6: 217.27
Time: 3/20:56:45 Arduino 0: 0: 281.60,1: 270.35,2: 259.80,3: 248.55,4: 238.36,5: 228.52,6: 217.62
Time: 3/20:56:45 Arduino 0: 0: 284.06,1: 273.16,2: 261.56,3: 251.37,4: 239.77,5: 229.57,6: 219.73
Time: 3/20:56:45 Arduino 0: 0: 286.52,1: 275.63,2: 264.38,3: 252.77,4: 241.88,5: 231.33,6: 220.43
Time: 3/20:56:45 Arduino 0: 0: 287.93,1: 277.03,2: 265.43,3: 254.88,4: 242.93,5: 232.38,6: 222.19
Time: 3/20:56:45 Arduino 0: 0: 288.28,1: 277.73,2: 266.13,3: 255.23,4: 244.69,5: 233.44,6: 222.89
Time: 3/20:56:45 Arduino 0: 0: 287.23,1: 277.03,2: 266.13,3: 256.29,4: 244.34,5: 234.49,6: 223.24
